fundISINCode,parentCode,fundNameEN,fundNameSC,baseCurrency,shareClassCurrency,fundIndustry,fundStatus,fundRegion,fundInvestType,sharpeRatioM12,sharpeRatioM36,maxDrawdownM12,maxDrawdownM36,standardDeviationM12,standardDeviationM36,dividendFrequencyType,dividendYield,latestDividendYield,msRating,fundAssetsSize,fundSetupDate,minInitialInvestment,minSubsequentInvestment,fundManagementCompanyEN,fundManagementCompanySC,fundInvestObject,fundInvestStrategyEN,fundInvestStrategySC,fundFactSheet,fundStatement,fundAnnualReport,fundInterimReport,fundProspectus,peerGroupRankM1,peerGroupRankM3,peerGroupRankM6,peerGroupRankM12,peerGroupRankM36,netExpenseRatio,annualReportDate,managementFee,categoryId,reportDate
"HK0000012440","FSGBR06G1I","First Sentier Asian Bridge Fund Class I USD","首源伞子基金-首源亚洲铁桥基金","USD","USD","0","1","10","4","0.080000","0.800000","-0.062000","-0.114100","0.078000","0.096400","M$","1.694880","0.014480","4","385809644.9000","2003-09-25","1500.000000","1000.000000","First Sentier Investors (Hong Kong) Limited","首源投资（香港）有限公司","","The Fund provides investors with medium team capital stability, a regular income steam and the potential for capital growth over the medium to long term through investment primarily in a balanced portfolio consisting of equity or equity-related investments and fixed income debt securities issued by governments, supra-national entities, corporate or other issuers in the Asian (including Australia and New Zealand but excluding Japan) debt and securities markets. Although the Fund may invest in companies or issuers outside the Asian region, the Fund will normally invest at least 70% of its net assets in the Asian region.","本基金的目标在於透过主要投资於一项平均衡投资组合，中期内為投资者维持 资本稳定及定期收益来源，以及提供中长线资本增值潜力；该组合包含亚洲(包 括澳洲及纽西兰但不包括日本)债务及证券市场上所发行的股票相关投资及定息 债务证券。","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F0GBR06111&documenttype=52&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR06111&documenttype=76&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR06111&documenttype=4&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR06111&documenttype=5&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR06111&documenttype=1&market=1447&investmenttype=1","55","79","37","57","36","","2021-06-30","0.010000","EUCA000559","2021-12-29"
"HK0000038148","FSHKG08AAC","JPMorgan Asia Growth (acc) - USD","摩根亚洲增长(美元 累计)","USD","USD","0","1","10","1","0.100000","0.820000","-0.128900","-0.173500","0.158600","0.181900","","1.680690","0.013110","4","886394066.3400","2007-05-14","2000.000000","2000.000000","JPMorgan Funds (Asia) Limited","摩根基金（亚洲）有限公司","","The investment objective of the Fund is to provide investors with long-term capital appreciation by investing at least 70% of its non-cash assets in equity securities of companies whose predominant business will benefit from, or is related to, the growth in Asian economies. The Fund may invest up to 30% of its non-cash assets in equity securities of companies in non-Asian countries. The Fund may also invest up to 10% of its non-cash assets in non-equity securities in any countries.The Fund’s aggregate exposure (direct and indirect) to China A-Shares and B-Shares may not exceed 10% of its net assets and should this investment policy in China A-Shares and/or B-Shares change in the future, one month’s prior notice will be given to unitholders and the offering document will be updated accordingly.","该基金的投资目标是为投资者提供长远资本增值","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F0HKG070CK&documenttype=52&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0HKG070CK&documenttype=76&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0HKG070CK&documenttype=4&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0HKG070CK&documenttype=5&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F0HKG070CK&documenttype=1&market=1447&investmenttype=1","67","56","72","53","21","","2020-09-30","0.015000","EUCA000779","2021-12-29"
"HK0000055555","FSGBR05GPP","JPMorgan ASEAN Fund - JPMorgan ASEAN (acc) – USD","摩根东协（美元）（累计）","USD","USD","0","1","10","1","0.750000","0.260000","-0.053600","-0.315100","0.122200","0.208200","","2.580960","0.022520","3","1310784948.9200","1983-07-07","2000.000000","","JPMorgan Funds (Asia) Limited","摩根基金（亚洲）有限公司","","To provide long-term capital growth by investing primarily in the securities of companies with significant assets in, or earnings derived from, one or more of the countries comprising the Association of Southeast Asian Nations (ASEAN).","主要投资於在东南亚国家协会之其中一个或多个成员国拥有其大部分资产，或其大部分盈利来自该等成员国之證券，以提供长期资本增值。","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F0GBR054N2&documenttype=52&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR054N2&documenttype=76&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR054N2&documenttype=4&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR054N2&documenttype=5&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F0GBR054N2&documenttype=1&market=1447&investmenttype=1","66","47","35","50","36","","2020-09-30","0.015000","EUCA000669","2021-12-29"
"HK0000055597","FSGBR06GP7","JPMorgan Asian Total Return Bond (mth) - USD","摩根亚洲总收益债券（美元）（每月派息）","USD","USD","0","1","10","2","-1.050000","0.460000","-0.045500","-0.077800","0.034700","0.060700","M$","","","2","2347063493.1000","2005-01-18","2000.000000","2000.000000","JPMorgan Funds (Asia) Limited","摩根基金（亚洲）有限公司","","To achieve a competitive total return, consisting of capital growth and regular dividend income, through an actively managed portfolio investing primarily in Asian bonds and other debt securities.","该基金之投资目标为透过一个主要投资于亚洲债券及其他债务证券之主动管理组合，致力提供具竞争力的总回报（包括资本增长及 定息收益）。","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F0GBR064BY&documenttype=52&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR064BY&documenttype=76&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR064BY&documenttype=4&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR064BY&documenttype=5&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F0GBR064BY&documenttype=1&market=1447&investmenttype=1","61","59","56","66","76","0.011500","2020-09-30","0.025000","EUCA000570","2021-12-29"
"HK0000055746","FSGBR05GK2","JPMorgan Pacific Securities (acc) - USD","摩根太平洋证券（美元）（累计）","USD","USD","0","1","10","1","0.510000","1.000000","-0.062500","-0.181300","0.111400","0.157400","","1.903390","0.015080","5","923449756.2800","1978-05-26","2000.000000","2000.000000","JPMorgan Funds (Asia) Limited","摩根基金（亚洲）有限公司","","To provide long-term capital growth through investment primarily in the securities of companies in the Asia-Pacific region, including Japan, Australia and New Zealand.","透过主要投资于亚太区（包括日本、澳大利亚及新西兰）企业之证券，为投资者提供长远资本增值。","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F0GBR054N4&documenttype=52&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR054N4&documenttype=76&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR054N4&documenttype=4&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR054N4&documenttype=5&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F0GBR054N4&documenttype=1&market=1447&investmenttype=1","50","48","47","26","6","","2020-09-30","0.015000","EUCA000502","2021-12-29"
"HK0000055761","FSUSA08BCR","JPMorgan Pacific Technology (acc) - USD","摩根太平洋科技基金 (acc) - USD","USD","USD","1","1","10","1","0.000000","1.160000","-0.156000","-0.156000","0.202700","0.227900","","1.197640","0.008050","3","1480572096.1400","1997-08-15","2000.000000","0.000000","JPMorgan Funds (Asia) Limited","摩根基金（亚洲）有限公司","","To provide long-term capital growth through a portfolio consisting primarily of securities of technology companies in the Pacific region, including Japan.","基金之投资政策为透过一个主要投资于在太平洋地区（包括日本）之科技公司之证券之投资组合，为投资者提供长远资本增值。基金亦可为投资目的而投资于衍生工具，例如远期合约、期权、认股权证及期货，并在经理人及投资经理人认为合适之有限情况下，于其投资组合内大量持有现金及以现金为本的工具。","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F0GBR064C5&documenttype=52&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F0GBR064C5&documenttype=76&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR064C5&documenttype=4&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F0GBR064C5&documenttype=5&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F0GBR064C5&documenttype=1&market=1447&investmenttype=1","52","62","91","92","53","","2020-09-30","0.015000","EUCA000542","2021-12-29"
"HK0000084514","FS00008MUP","JPMorgan Multi Income (mth) - USD","摩根全方位入息（美元）（每月派息）","USD","USD","0","1","90","2","1.830000","0.670000","-0.023000","-0.150600","0.045800","0.102100","M$","4.021480","0.035880","3","5920878066.1400","2011-09-09","2000.000000","","JPMorgan Funds (Asia) Limited","摩根基金（亚洲）有限公司","","To maximize the income return primarily through investing in a diversified portfolio of income producing equities, bonds and other securities. In addition, the Fund aims to provide medium to long term moderate capital growth. The Manager will seek to achieve these objectives by active asset allocation to, and within, different asset classes and geographies. The asset classes include but are not limited to investment grade bonds, below investment grade bonds, high yield bonds, emerging market bonds, convertible bonds, real estate investment trusts (“REITs”) and equities.","透过主要投资於一项由可产生收益的股票、债券及其他證券组成的多元化投资组合，以期尽量提高收益回报。此外，基金亦致力提供中期至长期之温和资本增值。经理人将会透过於不同资产类别及地域作出积极资产配置，以期达致该等目标。该等资产类别包括但不限於投资级别债券、低於投资级别债券、高收益债券、新兴市场债券、可换股债券、房地产投资信託及股票。","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F00000MU6A&documenttype=52&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000MU6A&documenttype=76&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000MU6A&documenttype=4&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000MU6A&documenttype=5&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F00000MU6A&documenttype=1&market=1447&investmenttype=1","63","71","67","41","60","","2020-09-30","0.025000","EUCA000694","2021-12-29"
"HK0000084522","FS00008MUP","JPMorgan Multi Income (mth) - HKD","摩根全方位入息（港元）（每月派息）","HKD","HKD","0","1","90","2","1.860000","0.670000","-0.022900","-0.150700","0.045200","0.102100","M$","4.021480","0.035880","3","46158277271.9000","2011-09-09","","","JPMorgan Funds (Asia) Limited","摩根基金（亚洲）有限公司","","To maximize the income return primarily through investing in a diversified portfolio of income producing equities, bonds and other securities. In addition, the Fund aims to provide medium to long term moderate capital growth. The Manager will seek to achieve these objectives by active asset allocation to, and within, different asset classes and geographies. The asset classes include but are not limited to investment grade bonds, below investment grade bonds, high yield bonds, emerging market bonds, convertible bonds, real estate investment trusts (“REITs”) and equities.","透过主要投资於一项由可产生收益的股票、债券及其他證券组成的多元化投资组合，以期尽量提高收益回报。此外，基金亦致力提供中期至长期之温和资本增值。经理人将会透过於不同资产类别及地域作出积极资产配置，以期达致该等目标。该等资产类别包括但不限於投资级别债券、低於投资级别债券、高收益债券、新兴市场债券、可换股债券、房地产投资信託及股票。","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F00000MRHD&documenttype=52&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000MRHD&documenttype=76&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000MRHD&documenttype=4&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000MRHD&documenttype=5&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F00000MRHD&documenttype=1&market=1447&investmenttype=1","63","70","66","42","60","","2020-09-30","0.025000","EUCA000694","2021-12-29"
"HK0000095296","FS00008MUP","JPMorgan Multi Income (acc) - USD","摩根全方位入息（美元）（累计）","USD","USD","0","1","90","2","1.840000","0.670000","-0.023200","-0.149800","0.045700","0.101900","","4.021480","0.035880","3","5920878066.1400","2012-02-01","10.000000","","JPMorgan Funds (Asia) Limited","摩根基金（亚洲）有限公司","","To maximize the income return primarily through investing in a diversified portfolio of income producing equities, bonds and other securities. In addition, the Fund aims to provide medium to long term moderate capital growth. The Manager will seek to achieve these objectives by active asset allocation to, and within, different asset classes and geographies. The asset classes include but are not limited to investment grade bonds, below investment grade bonds, high yield bonds, emerging market bonds, convertible bonds, real estate investment trusts (“REITs”) and equities.","透过主要投资於一项由可产生收益的股票、债券及其他證券组成的多元化投资组合，以期尽量提高收益回报。此外，基金亦致力提供中期至长期之温和资本增值。经理人将会透过於不同资产类别及地域作出积极资产配置，以期达致该等目标。该等资产类别包括但不限於投资级别债券、低於投资级别债券、高收益债券、新兴市场债券、可换股债券、房地产投资信託及股票。","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000O9KQ&documenttype=52&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000O9KQ&documenttype=76&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000O9KQ&documenttype=4&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000O9KQ&documenttype=5&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=446&investmentid=F00000O9KQ&documenttype=1&market=1447&investmenttype=1","66","71","68","41","60","","2020-09-30","0.025000","EUCA000694","2021-12-29"
"HK0000099173","FS00009GGO","CSOP Shen Zhou RMB Fund A","南方神州人民币基金 A","CNH","CNH","0","1","11","2","-0.400000","-0.170000","-0.026800","-0.063700","0.027400","0.041700","Q$","","","1","140242680.4300","2012-02-22","20000.000000","10000.000000","CSOP Asset Management Limited","南方东英资产管理有限公司","","CSOP Shen Zhou RMB Fund seeks long term and stable capital growth through investment primarily in bonds issued within mainland China and China A-Shares through the RQFII quota of the Manager.","南方神州人民币基金乃透过基金经理的RQFII的额度，主要投资於在中国大陆境内发行的债券及中国A股，藉以取得长期稳定的资本增长。","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000O2PV&documenttype=52&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000O2PV&documenttype=76&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000O2PV&documenttype=4&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000O2PV&documenttype=5&market=1447&investmenttype=1","https://doc.morningstar.com/LatestDoc.aspx?clientid=demo&key=morningstardata&language=451&investmentid=F00000O2PV&documenttype=1&market=1447&investmenttype=1","96","91","91","90","96","","2020-12-31","0.015000","EUCA000906","2021-12-29"
