fundISINCode,parentCode,fundNameEN,fundNameSC,baseCurrency,shareClassCurrency,fundIndustry,fundStatus,fundRegion,fundInvestType,sharpeRatioM12,sharpeRatioM36,maxDrawdownM12,maxDrawdownM36,standardDeviationM12,standardDeviationM36,dividendFrequencyType,dividendYield,latestDividendYield,msRating,fundAssetsSize,fundSetupDate,minInitialInvestment,minSubsequentInvestment,fundManagementCompanyEN,fundManagementCompanySC,fundInvestObject,fundInvestStrategyEN,fundInvestStrategySC,fundFactSheet,fundStatement,fundAnnualReport,fundInterimReport,fundProspectus,peerGroupRankM1,peerGroupRankM3,peerGroupRankM6,peerGroupRankM12,peerGroupRankM36,netExpenseRatio,annualReportDate,managementFee,categoryId,reportDate
HK0000012440,FSGBR06G1I,First Sentier Asian Bridge Fund Class I USD,首源伞子基金-首源亚洲铁桥基金,USD,USD,0,1,10,4,-0.42,0.82,-0.062,-0.1141,0.0663,0.0963,M$,1.69488,0.01448,4,383904315.9,2003/9/25,1500,1000,First Sentier Investors (Hong Kong) Limited,首源投资（香港）有限公司,,"The Fund provides investors with medium team capital stability, a regular income steam and the potential for capital growth over the medium to long term through investment primarily in a balanced portfolio consisting of equity or equity-related investments and fixed income debt securities issued by governments, supra-national entities, corporate or other issuers in the Asian (including Australia and New Zealand but excluding Japan) debt and securities markets. Although the Fund may invest in companies or issuers outside the Asian region, the Fund will normally invest at least 70% of its net assets in the Asian region.",本基金的目标在於透过主要投资於一项平均衡投资组合，中期内為投资者维持 资本稳定及定期收益来源，以及提供中长线资本增值潜力；该组合包含亚洲(包 括澳洲及纽西兰但不包括日本)债务及证券市场上所发行的股票相关投资及定息 债务证券。,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F0GBR06111&documenttype=52&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR06111&documenttype=76&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR06111&documenttype=4&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR06111&documenttype=5&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR06111&documenttype=1&market=1447&investmenttype=1,80,80,53,59,43,,2021/6/30,0.01,EUCA000559,2022/1/4
HK0000038148,FSHKG08AAC,JPMorgan Asia Growth (acc) - USD,摩根亚洲增长(美元 累计),USD,USD,0,1,10,1,-0.6,0.89,-0.135,-0.1735,0.1283,0.1798,,1.68069,0.01311,4,886394066.3,2007/5/14,2000,2000,JPMorgan Funds (Asia) Limited,摩根基金（亚洲）有限公司,,"The investment objective of the Fund is to provide investors with long-term capital appreciation by investing at least 70% of its non-cash assets in equity securities of companies whose predominant business will benefit from, or is related to, the growth in Asian economies. The Fund may invest up to 30% of its non-cash assets in equity securities of companies in non-Asian countries. The Fund may also invest up to 10% of its non-cash assets in non-equity securities in any countries.The Fund’s aggregate exposure (direct and indirect) to China A-Shares and B-Shares may not exceed 10% of its net assets and should this investment policy in China A-Shares and/or B-Shares change in the future, one month’s prior notice will be given to unitholders and the offering document will be updated accordingly.",该基金的投资目标是为投资者提供长远资本增值,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F0HKG070CK&documenttype=52&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0HKG070CK&documenttype=76&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0HKG070CK&documenttype=4&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0HKG070CK&documenttype=5&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F0HKG070CK&documenttype=1&market=1447&investmenttype=1,92,91,79,80,26,,2020/9/30,0.015,EUCA000779,2022/1/4
HK0000055555,FSGBR05GPP,JPMorgan ASEAN Fund - JPMorgan ASEAN (acc) – USD,摩根东协（美元）（累计）,USD,USD,0,1,10,1,0.49,0.32,-0.0536,-0.3151,0.1144,0.2077,,2.58096,0.02252,3,1310784949,1983/7/7,2000,,JPMorgan Funds (Asia) Limited,摩根基金（亚洲）有限公司,,"To provide long-term capital growth by investing primarily in the securities of companies with significant assets in, or earnings derived from, one or more of the countries comprising the Association of Southeast Asian Nations (ASEAN).",主要投资於在东南亚国家协会之其中一个或多个成员国拥有其大部分资产，或其大部分盈利来自该等成员国之證券，以提供长期资本增值。,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F0GBR054N2&documenttype=52&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR054N2&documenttype=76&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR054N2&documenttype=4&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR054N2&documenttype=5&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F0GBR054N2&documenttype=1&market=1447&investmenttype=1,77,62,37,54,39,,2020/9/30,0.015,EUCA000669,2022/1/4
HK0000055597,FSGBR06GP7,JPMorgan Asian Total Return Bond (mth) - USD,摩根亚洲总收益债券（美元）（每月派息）,USD,USD,0,1,10,2,-1.36,0.44,-0.0455,-0.0778,0.0324,0.0606,M$,,,2,2347063493,2005/1/18,2000,2000,JPMorgan Funds (Asia) Limited,摩根基金（亚洲）有限公司,,"To achieve a competitive total return, consisting of capital growth and regular dividend income, through an actively managed portfolio investing primarily in Asian bonds and other debt securities.",该基金之投资目标为透过一个主要投资于亚洲债券及其他债务证券之主动管理组合，致力提供具竞争力的总回报（包括资本增长及 定息收益）。,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F0GBR064BY&documenttype=52&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR064BY&documenttype=76&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR064BY&documenttype=4&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR064BY&documenttype=5&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F0GBR064BY&documenttype=1&market=1447&investmenttype=1,,,,,,0.0115,2020/9/30,0.025,EUCA000570,2022/1/4
HK0000055621,FSCYM077WR,JPMorgan China Pioneer A-Share (acc) – USD,摩根中国先驱A股基金 (acc) – USD,USD,USD,0,1,11,1,-0.49,1.47,-0.1196,-0.1196,0.1523,0.1903,,1.05809,0.0096,5,1502910878,2006/6/19,2000,2000,JPMorgan Funds (Asia) Limited,摩根基金（亚洲）有限公司,,"To achieve long-term capital growth by investing primarily in PRC securities, including but not limited to A-Shares.",主要投资於中国證券（包括但不限於A股）达致长期资本增长。,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=FOGBR05JVA&documenttype=52&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=FOGBR05JVA&documenttype=76&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=FOGBR05JVA&documenttype=4&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=FOGBR05JVA&documenttype=5&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=FOGBR05JVA&documenttype=1&market=1447&investmenttype=1,77,62,87,71,11,,2020/9/30,0.025,EUCA000896,2022/1/3
HK0000055746,FSGBR05GK2,JPMorgan Pacific Securities (acc) - USD,摩根太平洋证券（美元）（累计）,USD,USD,0,1,10,1,-0.05,1.18,-0.0625,-0.1813,0.0859,0.1518,,1.90339,0.01508,5,923449756.3,1978/5/26,2000,2000,JPMorgan Funds (Asia) Limited,摩根基金（亚洲）有限公司,,"To provide long-term capital growth through investment primarily in the securities of companies in the Asia-Pacific region, including Japan, Australia and New Zealand.",透过主要投资于亚太区（包括日本、澳大利亚及新西兰）企业之证券，为投资者提供长远资本增值。,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F0GBR054N4&documenttype=52&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR054N4&documenttype=76&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR054N4&documenttype=4&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR054N4&documenttype=5&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F0GBR054N4&documenttype=1&market=1447&investmenttype=1,74,69,63,57,6,,2020/9/30,0.015,EUCA000502,2022/1/2
HK0000055761,FSUSA08BCR,JPMorgan Pacific Technology (acc) - USD,摩根太平洋科技基金 (acc) - USD,USD,USD,1,1,10,1,-0.64,1.26,-0.1708,-0.1708,0.18,0.2224,,1.19764,0.00805,3,1480572096,1997/8/15,2000,0,JPMorgan Funds (Asia) Limited,摩根基金（亚洲）有限公司,,"To provide long-term capital growth through a portfolio consisting primarily of securities of technology companies in the Pacific region, including Japan.",基金之投资政策为透过一个主要投资于在太平洋地区（包括日本）之科技公司之证券之投资组合，为投资者提供长远资本增值。基金亦可为投资目的而投资于衍生工具，例如远期合约、期权、认股权证及期货，并在经理人及投资经理人认为合适之有限情况下，于其投资组合内大量持有现金及以现金为本的工具。,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F0GBR064C5&documenttype=52&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F0GBR064C5&documenttype=76&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR064C5&documenttype=4&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F0GBR064C5&documenttype=5&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F0GBR064C5&documenttype=1&market=1447&investmenttype=1,81,80,92,94,59,,2020/9/30,0.015,EUCA000542,2022/1/4
HK0000084514,FS00008MUP,JPMorgan Multi Income (mth) - USD,摩根全方位入息（美元）（每月派息）,USD,USD,0,1,90,4,1.84,0.86,-0.023,-0.1506,0.0479,0.1015,M$,3.93231,0.03558,3,5920878066,2011/9/9,2000,,JPMorgan Funds (Asia) Limited,摩根基金（亚洲）有限公司,,"To maximize the income return primarily through investing in a diversified portfolio of income producing equities, bonds and other securities. In addition, the Fund aims to provide medium to long term moderate capital growth. The Manager will seek to achieve these objectives by active asset allocation to, and within, different asset classes and geographies. The asset classes include but are not limited to investment grade bonds, below investment grade bonds, high yield bonds, emerging market bonds, convertible bonds, real estate investment trusts (“REITs”) and equities.",透过主要投资於一项由可产生收益的股票、债券及其他證券组成的多元化投资组合，以期尽量提高收益回报。此外，基金亦致力提供中期至长期之温和资本增值。经理人将会透过於不同资产类别及地域作出积极资产配置，以期达致该等目标。该等资产类别包括但不限於投资级别债券、低於投资级别债券、高收益债券、新兴市场债券、可换股债券、房地产投资信託及股票。,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F00000MU6A&documenttype=52&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F00000MU6A&documenttype=76&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F00000MU6A&documenttype=4&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F00000MU6A&documenttype=5&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F00000MU6A&documenttype=1&market=1447&investmenttype=1,,,,,,,2020/9/30,0.025,EUCA000694,2022/1/4
HK0000084522,FS00008MUP,JPMorgan Multi Income (mth) - HKD,摩根全方位入息（港元）（每月派息）,HKD,HKD,0,1,90,4,1.86,0.86,-0.0229,-0.1507,0.0477,0.1014,M$,3.93231,0.03558,3,46158277272,2011/9/9,,,JPMorgan Funds (Asia) Limited,摩根基金（亚洲）有限公司,,"To maximize the income return primarily through investing in a diversified portfolio of income producing equities, bonds and other securities. In addition, the Fund aims to provide medium to long term moderate capital growth. The Manager will seek to achieve these objectives by active asset allocation to, and within, different asset classes and geographies. The asset classes include but are not limited to investment grade bonds, below investment grade bonds, high yield bonds, emerging market bonds, convertible bonds, real estate investment trusts (“REITs”) and equities.",透过主要投资於一项由可产生收益的股票、债券及其他證券组成的多元化投资组合，以期尽量提高收益回报。此外，基金亦致力提供中期至长期之温和资本增值。经理人将会透过於不同资产类别及地域作出积极资产配置，以期达致该等目标。该等资产类别包括但不限於投资级别债券、低於投资级别债券、高收益债券、新兴市场债券、可换股债券、房地产投资信託及股票。,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F00000MRHD&documenttype=52&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F00000MRHD&documenttype=76&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F00000MRHD&documenttype=4&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F00000MRHD&documenttype=5&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F00000MRHD&documenttype=1&market=1447&investmenttype=1,,,,,,,2020/9/30,0.025,EUCA000694,2022/1/4
HK0000095296,FS00008MUP,JPMorgan Multi Income (acc) - USD,摩根全方位入息（美元）（累计）,USD,USD,0,1,90,4,1.84,0.86,-0.0232,-0.1498,0.0479,0.1012,,3.93231,0.03558,3,5920878066,2012/2/1,10,,JPMorgan Funds (Asia) Limited,摩根基金（亚洲）有限公司,,"To maximize the income return primarily through investing in a diversified portfolio of income producing equities, bonds and other securities. In addition, the Fund aims to provide medium to long term moderate capital growth. The Manager will seek to achieve these objectives by active asset allocation to, and within, different asset classes and geographies. The asset classes include but are not limited to investment grade bonds, below investment grade bonds, high yield bonds, emerging market bonds, convertible bonds, real estate investment trusts (“REITs”) and equities.",透过主要投资於一项由可产生收益的股票、债券及其他證券组成的多元化投资组合，以期尽量提高收益回报。此外，基金亦致力提供中期至长期之温和资本增值。经理人将会透过於不同资产类别及地域作出积极资产配置，以期达致该等目标。该等资产类别包括但不限於投资级别债券、低於投资级别债券、高收益债券、新兴市场债券、可换股债券、房地产投资信託及股票。,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F00000O9KQ&documenttype=52&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F00000O9KQ&documenttype=76&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F00000O9KQ&documenttype=4&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=451&investmentid=F00000O9KQ&documenttype=5&market=1447&investmenttype=1,https://doc.morningstar.com/LatestDoc.aspx?clientid=magnumhk&key=4e7d32ed0acb6ed9&language=446&investmentid=F00000O9KQ&documenttype=1&market=1447&investmenttype=1,,,,,,,2020/9/30,0.025,EUCA000694,2022/1/4
