fundISINCode,holdingISINCode,currency,securityName,weight,reportDate
LU0011847091,GB0000536739,GBP,Ashtead Group PLC,0.046875,2021/11/30
LU0011847091,GB0007188757,GBP,Rio Tinto PLC,0.042351,2021/11/30
LU0011847091,GB0003096442,GBP,Electrocomponents PLC,0.041088,2021/11/30
LU0011847091,GB00BJDQQ870,GBP,Watches of Switzerland Group PLC,0.038318,2021/11/30
LU0011847091,GB00B03MM408,GBP,Royal Dutch Shell PLC B,0.036335,2021/11/30
LU0011847091,GB0032089863,GBP,Next PLC,0.035247,2021/11/30
LU0011847091,GB0009633180,GBP,Dechra Pharmaceuticals PLC,0.032657,2021/11/30
LU0011847091,GB00B19NLV48,GBP,Experian PLC,0.031257,2021/11/30
LU0011847091,,USD,Apple Inc,0.031097,2021/11/30
LU0011847091,GB00BJFFLV09,GBP,Croda International PLC,0.029774,2021/11/30
LU0011850046,,USD,Microsoft Corp,0.055138,2021/11/30
LU0011850046,,USD,Amazon.com Inc,0.051108,2021/11/30
LU0011850046,,USD,Mastercard Inc Class A,0.050381,2021/11/30
LU0011850046,,USD,UnitedHealth Group Inc,0.049448,2021/11/30
LU0011850046,,USD,Boston Scientific Corp,0.047399,2021/11/30
LU0011850046,GB00B24CGK77,GBP,Reckitt Benckiser Group PLC,0.046879,2021/11/30
LU0011850046,GB0007099541,GBP,Prudential PLC,0.040106,2021/11/30
LU0011850046,FR0000121972,EUR,Schneider Electric SE,0.040081,2021/11/30
LU0011850046,JP3435000009,JPY,Sony Group Corp,0.039067,2021/11/30
LU0011850046,INE040A01034,INR,HDFC Bank Ltd,0.035445,2021/11/30
LU0040709171,TW0002330008,TWD,Taiwan Semiconductor Manufacturing Co Ltd,0.094856,2021/11/30
LU0040709171,,HKD,Tencent Holdings Ltd,0.079617,2021/11/30
LU0040709171,,HKD,JD.com Inc Ordinary Shares - Class A,0.048764,2021/11/30
LU0040709171,INE001A01036,INR,Housing Development Finance Corp Ltd,0.039715,2021/11/30
LU0040709171,KR7035420009,KRW,NAVER Corp,0.0367,2021/11/30
LU0040709171,INE040A01034,INR,HDFC Bank Ltd,0.035328,2021/11/30
LU0040709171,KR7006400006,KRW,Samsung SDI Co Ltd,0.034762,2021/11/30
LU0040709171,GRS419003009,EUR,Greek Organisation of Football Prognostics SA,0.030027,2021/11/30
LU0040709171,HK0000069689,HKD,AIA Group Ltd,0.029767,2021/11/30
LU0040709171,TW0002454006,TWD,MediaTek Inc,0.025979,2021/11/30
LU0047713382,TW0002330008,TWD,Taiwan Semiconductor Manufacturing Co Ltd,0.077621,2021/11/30
LU0047713382,IE00BK8MB266,USD,BlackRock ICS USD LiqEnvtlyAwr Agcy Inc,0.05005,2021/11/30
LU0047713382,KR7005930003,KRW,Samsung Electronics Co Ltd,0.047686,2021/11/30
LU0047713382,,HKD,Tencent Holdings Ltd,0.037122,2021/11/30
LU0047713382,,HKD,Meituan,0.028944,2021/11/30
LU0047713382,,HKD,ENN Energy Holdings Ltd,0.020861,2021/11/30
LU0047713382,,USD,PJSC Lukoil ADR,0.020484,2021/11/30
LU0047713382,,USD,Kaspi.kz JSC GDR,0.020276,2021/11/30
LU0047713382,INE040A01034,INR,HDFC Bank Ltd,0.019679,2021/11/30
LU0047713382,,USD,Infosys Ltd ADR,0.016581,2021/11/30
LU0051755006,,HKD,Tencent Holdings Ltd,0.097352,2021/11/30
LU0051755006,,HKD,Meituan,0.066034,2021/11/30
LU0051755006,,HKD,Alibaba Group Holding Ltd Ordinary Shares,0.051717,2021/11/30
