fundISINCode,distType,distKey,distValue,reportDate
LU0011847091,200,206,0.093559,2021/11/30
LU0011847091,200,308,0.113275,2021/11/30
LU0011847091,200,309,0.036335,2021/11/30
LU0011847091,200,310,0.182104,2021/11/30
LU0011847091,200,311,0.138468,2021/11/30
LU0011847091,300,1,0.978892,2021/11/30
LU0011847091,300,3,0.00006,2021/11/30
LU0011847091,300,7,0.021048,2021/11/30
LU0011847091,100,1,0.192546,2021/11/30
LU0011847091,100,4,0.786346,2021/11/30
LU0011847091,100,15,0.978892,2021/11/30
LU0011847091,200,101,0.10462,2021/11/30
LU0011847091,200,102,0.137126,2021/11/30
LU0011847091,200,103,0.142277,2021/11/30
LU0011847091,200,205,0.031127,2021/11/30
LU0011850046,300,1,0.982666,2021/11/30
LU0011850046,300,3,0.00002,2021/11/30
LU0011850046,300,7,0.017314,2021/11/30
LU0011850046,100,1,0.666476,2021/11/30
LU0011850046,100,3,0.008262,2021/11/30
LU0011850046,100,4,0.086985,2021/11/30
LU0011850046,100,5,0.131124,2021/11/30
LU0011850046,100,6,0.015308,2021/11/30
LU0011850046,100,10,0.039067,2021/11/30
LU0011850046,100,13,0.035445,2021/11/30
LU0011850046,100,14,0.043706,2021/11/30
LU0011850046,100,15,0.93896,2021/11/30
LU0011850046,200,102,0.081407,2021/11/30
LU0011850046,200,103,0.251119,2021/11/30
LU0011850046,200,205,0.046879,2021/11/30
LU0011850046,200,206,0.194268,2021/11/30
LU0011850046,200,308,0.094615,2021/11/30
LU0011850046,200,310,0.116305,2021/11/30
LU0011850046,200,311,0.198072,2021/11/30
LU0040709171,300,1,0.991849,2021/11/30
LU0040709171,300,7,0.008151,2021/11/30
LU0040709171,100,1,0.045359,2021/11/30
LU0040709171,100,3,0.05906,2021/11/30
LU0040709171,100,4,0.010879,2021/11/30
LU0040709171,100,5,0.030027,2021/11/30
LU0040709171,100,7,0.087884,2021/11/30
LU0040709171,100,8,0.00468,2021/11/30
LU0040709171,100,9,0.003168,2021/11/30
LU0040709171,100,12,0.291647,2021/11/30
LU0040709171,100,13,0.436565,2021/11/30
LU0040709171,100,14,0.58819,2021/11/30
LU0040709171,100,15,0.38108,2021/11/30
LU0040709171,200,101,0.026315,2021/11/30
LU0040709171,200,102,0.176742,2021/11/30
LU0040709171,200,103,0.208076,2021/11/30
