fundISINCode,holdingISINCode,currency,securityName,weight,reportDate
"HK0000012440","IE0008370151","USD","First Sentier Asia Strat Bd I USDInc","6.992910","2021-06-30"
"HK0000012440","TW0002330008","TWD","Taiwan Semiconductor Manufacturing Co Ltd","3.192300","2021-06-30"
"HK0000012440","INE040A01034","INR","HDFC Bank Ltd","2.595050","2021-06-30"
"HK0000012440","","","Other Net Assets","2.391990","2021-06-30"
"HK0000012440","","HKD","Tencent Holdings Ltd","2.306990","2021-06-30"
"HK0000012440","KR7005931001","KRW","Samsung Electronics Co Ltd Participating Preferred","2.222430","2021-06-30"
"HK0000012440","KR7035420009","KRW","NAVER Corp","1.795770","2021-06-30"
"HK0000012440","AU000000RMD6","AUD","ResMed Inc DR","1.569700","2021-06-30"
"HK0000012440","AU000000CSL8","AUD","CSL Ltd","1.553720","2021-06-30"
"HK0000012440","INE467B01029","INR","Tata Consultancy Services Ltd","1.434760","2021-06-30"
"HK0000038148","TW0002330008","TWD","Taiwan Semiconductor Manufacturing Co Ltd","9.701050","2021-10-31"
"HK0000038148","KR7005930003","KRW","Samsung Electronics Co Ltd","7.372920","2021-10-31"
"HK0000038148","","HKD","Tencent Holdings Ltd","6.238150","2021-10-31"
"HK0000038148","","HKD","Alibaba Group Holding Ltd Ordinary Shares","5.356420","2021-10-31"
"HK0000038148","HK0000069689","HKD","AIA Group Ltd","4.822890","2021-10-31"
"HK0000038148","","HKD","WuXi Biologics (Cayman) Inc","3.473180","2021-10-31"
"HK0000038148","","USD","Sea Ltd ADR","3.457830","2021-10-31"
"HK0000038148","","HKD","Meituan","3.249270","2021-10-31"
"HK0000038148","HK0388045442","HKD","Hong Kong Exchanges and Clearing Ltd","3.093650","2021-10-31"
"HK0000038148","ID1000109507","IDR","PT Bank Central Asia Tbk","2.857360","2021-10-31"
"HK0000055555","SG1L01001701","SGD","DBS Group Holdings Ltd","8.079970","2021-10-31"
"HK0000055555","","USD","Sea Ltd ADR","6.600350","2021-10-31"
"HK0000055555","ID1000109507","IDR","PT Bank Central Asia Tbk","6.522280","2021-10-31"
"HK0000055555","SG1S04926220","SGD","Oversea-Chinese Banking Corp Ltd","5.236750","2021-10-31"
"HK0000055555","ID1000118201","IDR","PT Bank Rakyat Indonesia (Persero) Tbk Class B","4.337050","2021-10-31"
"HK0000055555","ID1000129000","IDR","PT Telkom Indonesia (Persero) Tbk Class B","3.342020","2021-10-31"
"HK0000055555","TH0737010Y16","THB","CP All PCL","2.593460","2021-10-31"
"HK0000055555","MYL1295OO004","MYR","Public Bank Bhd","2.482260","2021-10-31"
"HK0000055555","TH0765010Z16","THB","Airports Of Thailand PLC","2.447030","2021-10-31"
"HK0000055555","ID1000122807","IDR","PT Astra International Tbk","1.811920","2021-10-31"
"HK0000055597","","","Us Dollar","6.580140","2021-09-30"
"HK0000055597","","","Korean Won","1.998780","2021-09-30"
"HK0000055597","","","Indian Rupee","1.499010","2021-09-30"
"HK0000055597","","USD","United States Treasury Notes 0.125%","1.352950","2021-09-30"
"HK0000055597","CND100047QT4","CNY","China (People's Republic Of) 3.02%","1.212660","2021-09-30"
"HK0000055597","TH0623038C04","THB","Thailand (Kingdom Of) 2.875%","1.036970","2021-09-30"
"HK0000055597","MX0MGO0000H9","MXN","Mexico (United Mexican States) 8.5%","1.011300","2021-09-30"
"HK0000055597","XS2098347821","USD","Gemstones International Limited 12%","0.903160","2021-09-30"
"HK0000055597","IDG000015207","IDR","Indonesia (Republic of) 6.5%","0.896810","2021-09-30"
"HK0000055597","XS2226808322","USD","CNAC (HK) Finbridge Company Limited 3.35%","0.879270","2021-09-30"
"HK0000055746","TW0002330008","TWD","Taiwan Semiconductor Manufacturing Co Ltd","6.379460","2021-10-31"
"HK0000055746","KR7005930003","KRW","Samsung Electronics Co Ltd","5.369280","2021-10-31"
"HK0000055746","","HKD","Tencent Holdings Ltd","4.625460","2021-10-31"
"HK0000055746","JP3236200006","JPY","Keyence Corp","4.015380","2021-10-31"
"HK0000055746","HK0000069689","HKD","AIA Group Ltd","3.564980","2021-10-31"
"HK0000055746","JP3970300004","JPY","Recruit Holdings Co Ltd","3.409820","2021-10-31"
"HK0000055746","ID1000109507","IDR","PT Bank Central Asia Tbk","3.254270","2021-10-31"
