fundISINCode,holdingISINCode,currency,securityName,weight,reportDate
IE0000830129,TW0002330008,TWD,Taiwan Semiconductor Manufacturing Co Ltd,0.08463,2021/9/30
IE0000830129,,HKD,Tencent Holdings Ltd,0.05768,2021/9/30
IE0000830129,KR7005930003,KRW,Samsung Electronics Co Ltd,0.051724,2021/9/30
IE0000830129,,USD,Sea Ltd ADR,0.043963,2021/9/30
IE0000830129,,,Grab Holdings Inc - Common Stock USD,0.038069,2021/9/30
IE0000830129,,HKD,Li Ning Co Ltd,0.03469,2021/9/30
IE0000830129,HK0000069689,HKD,AIA Group Ltd,0.027323,2021/9/30
IE0000830129,INE002A01018,INR,Reliance Industries Ltd,0.027019,2021/9/30
IE0000830129,HK0388045442,HKD,Hong Kong Exchanges and Clearing Ltd,0.02379,2021/9/30
IE0000830129,KR7035420009,KRW,NAVER Corp,0.023635,2021/9/30
