fundISINCode,managerID,managerName,managerStartDate,managerEndDate,reportDate
"HK0000012440","133191","Richard Jones","2013-07-01","","2022-01-07"
"HK0000012440","167960","Nigel Foo","2013-01-01","","2022-01-07"
"HK0000012440","206393","Fiona Kwok","2021-07-26","","2022-01-07"
"HK0000012440","206394","Clarissa Soputro","2021-09-22","","2022-01-07"
"HK0000012440","99743","刘国杰","2003-09-30","","2022-01-07"
"HK0000038148","132964","郭为熹","2015-05-27","","2022-01-07"
"HK0000038148","79560","DavidsMark","2015-05-27","","2022-01-07"
"HK0000055555","106752","Pauline Ng","2005-06-01","","2022-01-07"
"HK0000055555","163118","Desmond Loh","2019-06-03","","2022-01-07"
"HK0000055555","165064","Stacey Neo","2019-06-03","","2022-01-07"
"HK0000055555","165065","Changqi Ong","2013-04-01","","2022-01-07"
"HK0000055597","158733","何少燕","2018-02-26","","2022-01-07"
"HK0000055597","183644","彭逸升","2018-02-26","","2022-01-07"
"HK0000055597","189069","CallegariJulio","2020-08-10","","2022-01-07"
"HK0000055621","106748","Howard Wang","2017-02-10","","2022-01-07"
"HK0000055621","187950","Rebecca Jiang","2017-09-29","","2022-01-07"
"HK0000055746","10214","LloydRobert","2015-05-27","","2022-01-07"
"HK0000055746","133342","OgoshiAisa","2015-05-27","","2022-01-07"
"HK0000055761","125615","CoxOliver","2017-02-06","","2022-01-07"
"HK0000055761","132964","郭为熹","2017-12-29","","2022-01-07"
"HK0000084514","108304","Michael Schoenhaut","2011-09-09","","2022-01-07"
"HK0000084514","176855","Eric Bernbaum","2017-06-08","","2022-01-07"
"HK0000084514","20646","Gerhardt (Gary) Herbert","2021-03-01","","2022-01-07"
"HK0000084514","79469","Leon Goldfeld","2016-05-03","","2022-01-07"
"HK0000084522","108304","Michael Schoenhaut","2011-09-09","","2022-01-07"
"HK0000084522","176855","Eric Bernbaum","2017-06-08","","2022-01-07"
"HK0000084522","20646","Gerhardt (Gary) Herbert","2021-03-01","","2022-01-07"
"HK0000084522","79469","Leon Goldfeld","2016-05-03","","2022-01-07"
"HK0000095296","108304","Michael Schoenhaut","2011-09-09","","2022-01-07"
"HK0000095296","176855","Eric Bernbaum","2017-06-08","","2022-01-07"
"HK0000095296","20646","Gerhardt (Gary) Herbert","2021-03-01","","2022-01-07"
"HK0000095296","79469","Leon Goldfeld","2016-05-03","","2022-01-07"
"HK0000099173","169350","Not Disclosed","2012-02-22","","2022-01-07"
"HK0000102936","158733","何少燕","2018-02-26","","2022-01-07"
"HK0000102936","183644","彭逸升","2018-02-26","","2022-01-07"
"HK0000102936","189069","CallegariJulio","2020-08-10","","2022-01-07"
"HK0000105533","158733","何少燕","2018-02-26","","2022-01-07"
"HK0000105533","183644","彭逸升","2018-02-26","","2022-01-07"
"HK0000105533","189069","CallegariJulio","2020-08-10","","2022-01-07"
"HK0000123940","106752","Pauline Ng","2005-06-01","","2022-01-07"
"HK0000123940","163118","Desmond Loh","2019-06-03","","2022-01-07"
"HK0000123940","165064","Stacey Neo","2019-06-03","","2022-01-07"
"HK0000123940","165065","Changqi Ong","2013-04-01","","2022-01-07"
"HK0000130705","169350","Not Disclosed","2012-11-16","","2022-01-07"
"HK0000151891","172392","何世宁","2013-06-30","","2022-01-07"
"HK0000151891","182174","LienhardRuben","2016-01-31","","2022-01-07"
"HK0000151891","93912","RoskellJeffrey","2011-05-13","","2022-01-07"
