fundISINCode,managerID,managerName,managerStartDate,managerEndDate,reportDate
IE0000829568,195517,Brian Mangwiro,2020/2/21,,2022/1/4
IE0000830129,132256,Soo-Hai Lim,2018/6/8,,2022/1/4
IE0000830129,191395,Eunice Hong,2018/6/8,,2022/1/4
IE0000830129,194778,Kuldeep Khanapurkar,2019/6/1,,2022/1/4
IE0008368742,176098,Winston Ke,2002/5/1,,2022/1/3
IE0008368742,177531,Helen Chen,2014/12/31,,2022/1/3
IE0008368742,99743,Áõ¹ú½Ü,2002/4/1,,2022/1/3
IE0008369823,133191,Richard Jones,2013/4/19,,2022/1/3
IE0008369823,207242,Tianyi Tang,2019/10/2,,2022/1/3
IE0008369823,99743,Áõ¹ú½Ü,2002/4/30,,2022/1/3
IE00B0MD9M11,134112,Andrew Balls,2014/9/26,,2022/1/4
IE00B0MD9M11,148217,Lorenzo Pagani,2014/9/26,,2022/1/4
IE00B0MD9M11,157007,Sachin Gupta,2014/9/26,,2022/1/4
IE00B0MD9S72,166331,Javier Romo,2019/6/15,,2022/1/4
IE00B0MD9S72,185109,Pramol Dhawan,2019/6/15,,2022/1/4
IE00B0MD9S72,99490,Michael Gomez,2009/4/1,,2022/1/4
IE00B11XYX59,166331,Javier Romo,2019/6/15,,2022/1/4
IE00B11XYX59,185109,Pramol Dhawan,2019/6/15,,2022/1/4
IE00B11XYX59,99490,Michael Gomez,2009/4/1,,2022/1/4
IE00B11XZ210,134112,Andrew Balls,2014/9/26,,2022/1/4
IE00B11XZ210,148217,Lorenzo Pagani,2014/9/26,,2022/1/4
IE00B11XZ210,157007,Sachin Gupta,2014/9/26,,2022/1/4
IE00B11XZ871,186420,Sonali Pier,2019/7/31,,2022/1/4
IE00B11XZ871,7131,Andrew Jessop,2010/1/1,,2022/1/4
IE00B193MK07,149097,Eve Tournier,2010/4/30,,2022/1/4
IE00B193MK07,150783,Alfred Murata,2016/5/27,,2022/1/4
IE00B193MK07,186420,Sonali Pier,2017/11/1,,2022/1/4
IE00B193MK07,20034,Daniel Ivascyn,2016/5/27,,2022/1/4
IE00B193ML14,186420,Sonali Pier,2019/7/31,,2022/1/4
IE00B193ML14,195147,David Forgash,2019/4/1,,2022/1/4
IE00B193ML14,7131,Andrew Jessop,2010/1/1,,2022/1/4
IE00B193MN38,186420,Sonali Pier,2019/7/31,,2022/1/4
IE00B193MN38,7131,Andrew Jessop,2010/1/1,,2022/1/4
IE00B1D7YK27,149097,Eve Tournier,2010/4/30,,2022/1/4
IE00B1D7YK27,150783,Alfred Murata,2016/5/27,,2022/1/4
IE00B1D7YK27,186420,Sonali Pier,2017/11/1,,2022/1/4
IE00B1D7YK27,20034,Daniel Ivascyn,2016/5/27,,2022/1/4
IE00B1D7YM41,186420,Sonali Pier,2019/7/31,,2022/1/4
IE00B1D7YM41,195147,David Forgash,2019/4/1,,2022/1/4
IE00B1D7YM41,7131,Andrew Jessop,2010/1/1,,2022/1/4
IE00B3BC9V92,132256,Soo-Hai Lim,2018/6/8,,2022/1/4
IE00B3BC9V92,191395,Eunice Hong,2018/6/8,,2022/1/4
IE00B3BC9V92,194778,Kuldeep Khanapurkar,2019/6/1,,2022/1/4
IE00B464Q616,169685,Mohit Mittal,2019/5/31,,2022/1/4
IE00B464Q616,189099,Abhijeet Neogy,2016/8/1,,2022/1/4
IE00B464Q616,80521,ÕÅ¹Ú°î,2020/1/17,,2022/1/4
IE00B5TLWC47,169350,Not Disclosed,2016/9/1,,2022/1/3
IE00B7JY6H00,116625,William Fong,2004/9/17,,2022/1/4
IE00B7JY6H00,146184,Nicola Lai,2011/1/18,,2022/1/4
IE00BDCJY700,147398,Jeffrey Burger,2020/11/2,,2022/1/3
IE00BDCJY700,94979,Thomas Casey,2017/4/19,,2022/1/3
IE00BF47CT44,199228,Luca Evangelista,2020/7/1,,2022/1/3
IE00BFM0L103,183667,Craig Abouchar,2016/5/9,,2022/1/3
IE00BFM0L103,188865,Chris Sawyer,2016/3/8,,2022/1/3
IE00BFM0L103,197857,Kelly Burton,2017/7/1,,2022/1/3
IE00BFM0L103,154704,Scott Roth,2011/1/28,,2022/1/3
IE00BFM0L103,154709,Sean Feeley,2011/1/28,,2022/1/3
IE00BFM0L210,154704,Scott Roth,2011/1/28,,2022/1/3
IE00BFM0L210,154709,Sean Feeley,2011/1/28,,2022/1/3
IE00BFM0L210,183667,Craig Abouchar,2016/5/9,,2022/1/3
IE00BFM0L210,188865,Chris Sawyer,2016/3/8,,2022/1/3
IE00BFM0L210,197857,Kelly Burton,2017/7/1,,2022/1/3
IE00BFMH9K60,156943,Ricardo Adrogu¨¦,2015/9/10,,2022/1/3
IE00BFMH9K60,162976,Cem Karacadag,2015/9/10,,2022/1/3
IE00BFMH9L77,156943,Ricardo Adrogu¨¦,2015/9/10,,2022/1/3
IE00BFMH9L77,162976,Cem Karacadag,2015/9/10,,2022/1/3
IE00BGSXQR19,169685,Mohit Mittal,2019/2/14,,2022/1/4
IE00BGSXQR19,189099,Abhijeet Neogy,2019/2/14,,2022/1/4
IE00BGSXQR19,80521,ÕÅ¹Ú°î,2019/2/14,,2022/1/4
IE00BGSXQS26,169685,Mohit Mittal,2019/2/14,,2022/1/4
IE00BGSXQS26,189099,Abhijeet Neogy,2019/2/14,,2022/1/4
IE00BGSXQS26,80521,ÕÅ¹Ú°î,2019/2/14,,2022/1/4
IE00BGSXSD13,169685,Mohit Mittal,2019/2/14,,2022/1/4
IE00BGSXSD13,189099,Abhijeet Neogy,2019/2/14,,2022/1/4
IE00BGSXSD13,80521,ÕÅ¹Ú°î,2019/2/14,,2022/1/4
IE00BKBMHV44,156943,Ricardo Adrogu¨¦,2015/9/10,,2022/1/3
IE00BKBMHV44,162976,Cem Karacadag,2015/9/10,,2022/1/3
IE00BKBMHW50,156943,Ricardo Adrogu¨¦,2015/9/10,,2022/1/3
IE00BKBMHW50,162976,Cem Karacadag,2015/9/10,,2022/1/3
IE00BN15GC88,169685,Mohit Mittal,2019/5/31,,2022/1/4
IE00BN15GC88,189099,Abhijeet Neogy,2016/8/1,,2022/1/4
IE00BN15GC88,80521,ÕÅ¹Ú°î,2020/1/17,,2022/1/4
IE00BN15GG27,169685,Mohit Mittal,2019/5/31,,2022/1/4
IE00BN15GG27,189099,Abhijeet Neogy,2016/8/1,,2022/1/4
IE00BN15GG27,80521,ÕÅ¹Ú°î,2020/1/17,,2022/1/4
IE00BYVJR809,183286,Ned Naylor-Leyland,2016/3/8,,2022/1/3
IE00BYVJRD56,183286,Ned Naylor-Leyland,2016/3/8,,2022/1/3
IE00BZ199S13,169350,Not Disclosed,2019/12/2,,2022/1/3
