fundISINCode,nav,currency,fqNav,fundAssetsSize,returnRatio1D,returnRatio1W,returnRatio1M,returnRatio3M,returnRatio6M,returnRatio1Y,returnRatioYTD,ReturnRatio3Y,returnRatioTotal,sevenRR,unitYield,reportDate
"LU0047713382","47.870000","USD","47.870000","","0.004617","0.026813","-0.008081","-0.035462","-0.131216","-0.003124","-0.037402","0.502040","3.787000","","","2021-12-27"
"LU0053666078","340.160000","USD","348.027820","3887271116.19","0.003215","0.040117","0.040467","0.056397","0.080833","0.264386","0.251639","0.990177","33.802782","","","2021-12-27"
"LU0056508442","84.380000","USD","84.380000","","0.013452","0.053828","-0.022814","-0.008810","0.023781","0.077100","0.082767","1.975317","7.438000","","","2021-12-27"
"LU0082616367","50.270000","USD","50.582930","7064284471.85","0.017199","0.061893","-0.028974","0.035214","0.063908","0.121077","0.134227","2.094533","4.083712","","","2021-12-27"
"LU0089639750","57.250000","USD","66.330230","638112215.14","0.009166","0.055494","-0.023371","-0.028014","-0.014466","0.128489","0.108392","0.960592","5.633023","","","2021-12-27"
"LU0093502762","42.550000","EUR","42.550000","","0.006624","0.038818","0.020628","0.046998","0.084076","0.277394","0.264863","0.787815","3.255000","","","2021-12-27"
"LU0093503497","20.440000","EUR","20.440000","","0.001961","0.018943","0.009881","0.039674","0.070718","0.150901","0.145740","0.460000","1.044000","","","2021-12-27"
"LU0104030142","52.890000","EUR","58.564270","1283071855.59","0.010701","0.048365","0.027589","0.021437","0.128895","0.349835","0.318874","1.399538","4.885856","","","2021-12-27"
"LU0119062650","24.870000","EUR","32.572620","798456128.93","0.004443","0.040586","0.041021","0.048925","0.060835","0.270097","0.246705","0.585087","2.273630","","","2021-12-27"
"LU0122379950","66.600000","USD","66.600000","","0.004373","0.027778","0.036253","0.043070","0.037706","0.138462","0.132075","0.665416","5.660000","","","2021-12-27"
"LU0154237225","14.120000","USD","14.120000","","0.000000","0.000000","-0.000708","-0.008427","-0.009123","-0.007032","-0.007730","0.068079","0.412000","","","2021-12-27"
"LU0210528500","45.450000","USD","45.450000","3887271116.19","0.003090","0.040046","0.040522","0.056240","0.080599","0.264256","0.251377","0.989930","3.545000","","","2021-12-27"
"LU0210529656","37.110000","USD","37.110000","11314052151.52","0.006236","0.030833","-0.030311","-0.069458","-0.139578","-0.076636","-0.105568","0.575127","2.711000","","","2021-12-27"
"LU0210532015","86.720000","EUR","86.720000","1283071855.59","0.010723","0.048229","0.027610","0.021317","0.128726","0.349728","0.318735","1.399557","7.672000","","","2021-12-27"
"LU0210533765","30.740000","USD","30.740000","638112215.14","0.009192","0.055632","-0.023197","-0.027830","-0.014428","0.128488","0.108547","0.960459","2.074000","","","2021-12-27"
"LU0224105477","45.190000","EUR","45.190000","","0.008705","0.040525","0.012094","0.025181","0.076209","0.273316","0.252842","1.176782","31.344415","","","2021-12-27"
"LU0238689110","31.970000","USD","31.970000","","0.003768","0.041707","0.018477","0.012670","0.012029","0.149586","0.140971","0.826857","2.197000","","","2021-12-27"
"LU0256840447","336.460000","EUR","336.460000","2095236422.52","0.007576","0.039259","0.011028","-0.006848","0.037144","0.205129","0.190250","0.792446","2.758070","","","2021-12-27"
"LU0344579056","206.840000","USD","206.840000","8768045652.7","0.001598","0.007452","0.015215","-0.000145","0.009517","0.059251","0.052300","0.245424","1.068400","","","2021-12-27"
"LU0348784397","252.320000","USD","252.320000","1195821997.71","0.004939","0.037500","0.024192","0.005539","-0.008410","0.117697","0.079305","1.262351","2.853390","","","2021-12-27"
"LU0348814723","41.700000","USD","50.097900","452149081.25","0.003610","0.021808","-0.033380","-0.058903","-0.163491","-0.093872","-0.112577","0.631289","4.009790","","","2021-12-27"
"LU0348816934","48.590000","USD","48.590000","452149081.25","0.003511","0.021872","-0.033227","-0.058698","-0.163395","-0.093808","-0.112511","0.631084","2.802034","","","2021-12-27"
"LU0356780857","88.970000","USD","212.270940","8768045652.7","0.001576","0.007360","0.015175","-0.000157","0.009459","0.059239","0.052261","0.245207","1.122709","","","2021-12-27"
"LU0545039389","22.700000","USD","22.700000","","0.003093","0.035584","0.028546","0.032757","0.028080","0.166495","0.156393","0.510313","1.270000","","","2021-12-27"
"LU0560541111","17.259000","USD","17.259000","120154366276.73","-0.005646","0.012080","-0.004442","-0.119079","-0.077108","0.149221","0.113268","0.268764","0.725900","","","2021-12-27"
"LU0689472784","25.390000","USD","25.390000","37998253599.7","0.005146","0.030857","0.007540","0.024203","0.041855","0.117026","0.115554","0.654072","1.539000","","","2021-12-27"
"LU0727847666","9.890000","HKD","18.783220","8768045652.7","0.002027","0.007129","0.015035","0.002266","0.014741","0.065802","0.058267","0.239274","0.695236","","","2021-12-27"
"LU0853555463","14.310000","USD","14.310000","10018861307.98","-0.002092","-0.003482","0.004916","-0.004868","0.006329","0.009168","0.008457","0.186567","0.431000","","","2021-12-27"
"LU0863150172","38.130000","HKD","38.130000","3887271116.19","0.003421","0.040098","0.040666","0.058579","0.086015","0.271424","0.258416","0.976672","2.441336","","","2021-12-27"
"LU0927678507","255.020000","USD","255.020000","522793122804","-0.001449","0.029677","-0.026827","-0.060423","0.055110","0.103696","0.074311","0.841965","1.621235","","","2021-12-27"
"LU0965088593","18.386000","USD","18.386000","120154366276.73","-0.002333","0.023150","0.005854","-0.089261","-0.044089","0.273004","0.237614","0.342044","0.838600","","","2021-12-27"
"LU0987226023","17.820000","HKD","17.820000","798456128.93","0.005076","0.037857","0.040280","0.043326","0.053191","0.254046","0.229814","0.601078","0.782000","","","2021-12-27"
"LU0987226296","247.060000","USD","247.060000","798456128.93","0.004799","0.037588","0.040340","0.044166","0.053785","0.256727","0.232158","0.612137","0.825477","","","2021-12-27"
"LU0992293067","10.350000","USD","13.508420","10018861307.98","-0.002890","-0.003849","0.004782","-0.005063","0.006718","0.008928","0.008081","0.186466","0.350842","","","2021-12-27"
"LU1034075835","609.420000","USD","609.420000","1283071855.59","0.011016","0.046251","0.027932","0.024201","0.131216","0.353124","0.321121","1.457933","3.461347","","","2021-12-27"
"LU1041599405","133.250000","USD","133.250000","12165970287.29","-0.000225","0.002634","0.007790","-0.006339","-0.009294","0.024685","0.020604","0.176081","0.332500","","","2021-12-27"
"LU1128926307","9.120000","HKD","13.444870","12165970287.29","0.000000","0.003301","0.008174","-0.003662","-0.003859","0.031587","0.027150","0.171507","0.344487","","","2021-12-27"
"LU1128926489","9.050000","USD","13.342590","12165970287.29","0.000000","0.003325","0.008234","-0.005876","-0.009279","0.024943","0.020530","0.176489","0.334259","","","2021-12-27"
"LU1366192091","20.390000","USD","25.570520","238402438.58","0.009906","0.053203","0.011130","0.075724","0.117068","0.256698","0.251449","1.148242","1.557052","","","2021-12-27"
"LU1548497426","31.270000","USD","31.270000","8398379461.79","0.012630","0.050034","-0.018826","-0.044607","-0.043146","0.066508","0.079392","1.853102","2.127000","","","2021-12-27"
"LU1861215975","25.600000","USD","25.600000","","0.019108","0.066667","-0.032502","-0.057784","-0.050797","0.015873","0.019108","2.359580","1.560000","","","2021-12-27"
"LU1894109211","27.720000","HKD","27.720000","7064284471.85","0.017621","0.062069","-0.028391","0.037425","0.069032","0.127746","0.140741","2.076582","1.772000","","","2021-12-27"
"LU2068974737","10.539000","USD","10.539000","74435491.92","0.000475","0.000760","0.003141","-0.009213","-0.017068","-0.005286","-0.007534","0.053900","0.053900","","","2021-12-27"
"LU2088747725","9.005000","USD","9.005000","137578090.51","0.002003","0.004126","-0.017886","-0.049805","-0.125473","-0.094247","-0.103266","-0.099500","-0.099500","","","2021-12-27"
"LU2088747998","8.191000","USD","9.020410","137578090.51","0.001957","0.004168","-0.017813","-0.049874","-0.125436","-0.094280","-0.103236","-0.097959","-0.097959","","","2021-12-27"
"LU2088748020","8.045000","USD","9.016620","137578090.51","0.001993","0.004119","-0.017889","-0.049810","-0.125478","-0.094142","-0.103266","-0.098338","-0.098338","","","2021-12-27"
"LU2088748293","8.162000","HKD","8.953720","137578090.51","0.002211","0.004059","-0.017653","-0.047898","-0.121032","-0.088671","-0.097770","-0.104628","-0.104628","","","2021-12-27"
"LU2347918265","9.663000","USD","9.837530","74435491.92","0.000621","0.000725","0.003486","-0.008444","-0.015952","-0.016247","-0.016247","-0.016247","-0.016247","","","2021-12-27"
"LU2373661078","9.849000","HKD","9.849000","74435491.92","0.000813","0.000711","0.003669","-0.006657","-0.015100","-0.015100","-0.015100","-0.015100","-0.015100","","","2021-12-27"
"LU2373661581","9.744000","HKD","9.848810","74435491.92","0.000821","0.000718","0.003692","-0.006676","-0.015119","-0.015119","-0.015119","-0.015119","-0.015119","","","2021-12-27"
